title,price,overview,popularity,release_date,runtime,tagline,,vote_average,vote_count,,original_language,original_title
Something the Lord Made,7.99,A dramatization of the relationship between heart surgery pioneers Alfred Blalock and Vivien Thomas.,3.260102,30/05/2004,110,A breakthrough that changed the face of medicine. A unique partnership that broke the rules.,,7.5,38,,en,Something the Lord Made
Million Dollar Baby,7.99,"Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her.",14.471373,15/12/2004,132,"Beyond his silence, there is a past. Beyond her dreams, there is a feeling. Beyond hope, there is a memory. Beyond their journey, there is a love.",,7.7,2519,,en,Million Dollar Baby
The Narrow Margin,6.99,A tough cop meets his match when he has to guard a gangster's widow on a tense train ride.,1.733848,03/05/1952,71,A Fortune If They Seal Her Lips!...A Bullet If They Fail!,,7.3,32,,en,The Narrow Margin
Hotel Rwanda,7.99,"Inspired by true events, this film takes place in Rwanda in the 1990s when more than a million Tutsis were killed in a genocide that went mostly unnoticed by the rest of the world. Hotel owner Paul Rusesabagina houses over a thousand refuges in his hotel in attempt to save their lives.",10.262332,11/09/2004,121,"When the world closed its eyes, he opened his arms.",,7.5,805,,en,Hotel Rwanda
Born to Dance,7.99,"Sailor Ted meets and falls in love with Nora Paige, an aspiring Broadway show dancer, at the Lonely Hearts Club. After Ted rescues Lucy James' Pekinese during a public relations campaign on his submarine, Lucy falls in love with Ted; and Ted's captain orders him to meet Lucy for a date at a night club breaking a date with Nora. When she sees a picture of Ted and Lucy in the newspaper, Nora, who lives with Jenny and her daughter (Jenny's husband is Gunny), no longer wants anything to do with Ted.",0.370507,27/11/1936,106,M*G*M's successor to 'THE GREAT ZIEGFELD',,8,1,,en,Born to Dance
The Life Aquatic with Steve Zissou,6.99,Wes Anderson’s incisive quirky comedy build up stars complex characters like in ‘The Royal Tenenbaums’ with Bill Murray on in the leading role. An ocean adventure documentary film maker Zissou is put in all imaginable life situations and a tough life crisis as he attempts to make a new film about capturing the creature that caused him pain.,6.936677,10/12/2004,119,"The deeper you go, the weirder life gets.",,7.1,781,,en,The Life Aquatic with Steve Zissou
Hold That Ghost,6.99,Two bumbling service station attendants are left as the sole beneficiaries in a gangster's will. Their trip to claim their fortune is sidetracked when they are stranded in a haunted house along with several other strangers.,6.201988,08/08/1941,86,Here's That ALL-AMERICAN LAUGH TEAM!,,7.1,17,,en,Hold That Ghost
Bomb the System,7.99,"Anthony ‘Blest’ (Mark Webber) is one of the most talented and notorious graffiti artists in New York City. Despite the tragic loss of his older brother during a nightly 'bombing' foray with a graffiti crew, Anthony has the same insatiable addiction. With the other members of his ‘crew,’ Anthony parties, shoplifts spray-paint and 'tags' virgin walls with his signature 'Blest.' He does his best to avoid run-ins with the cops and hostile rival crews, but he can’t avoid the pressure from his mother to attend college, and from his girlfriend to leave New York with her. As tensions rise, a physical threat from the cops causes the crew to intensify their bombing excursions, calling an all out war on the city. When the inevitable confrontation happens, a tragedy results that pushes Anthony to make a decision that has even darker consequences.",0.227369,02/08/2002,93,Graffiti Can Be A Powerful Weapon,,7.5,6,,en,Bomb the System
The Grateful Dead,7.99,"Released in 1977 and directed by Jerry Garcia, is a film that captures performances from the Grateful Dead's October 1974 five-night stand at the Winterland Ballroom in San Francisco. This end-of-tour run marked the beginning of an extended hiatus for the band, with no shows planned for 1975. The movie also faithfully portrays the burgeoning Deadhead scene. The film features the ""Wall of Sound"" concert sound system that the Dead used for all of 1974.",1.086537,02/06/1977,132,There is nothing like a Grateful Dead concert,,7.8,8,,en,The Grateful Dead
Distant Thunder,7.99,"A troubled Vietnam war vet deserts his wife and child shortly after he returns from the war. He returns after 10 years, where he's been living like an animal in the forest. He finds himself unprepared for the changes that he will have to cope with, and when the vet tries to contact his son, he realizes that he has caused more damage than he had imagined.",0.407729,11/11/1988,114,"A hero of war. A casualty of peace, With only one hope for survival...his son.",,7.5,3,,en,Distant Thunder
Sergeant York,6.99,Alvin York a hillbilly sharpshooter transforms himself from ruffian to religious pacifist. He is then called to serve his country and despite deep religious and moral objections to fighting becomes one of the most celebrated American heroes of WWI.,3.336494,02/07/1941,134,Missiles! Jets! Tanks! ...It's Still The Guy With Guts And A Gun Who Wins The War!,,7.1,47,,en,Sergeant York
Abbott and Costello Meet the Invisible Man,6.99,"Boxer Tommy Nelson is accused of killing his manager. While detectives Bud and Lou investigate they come across an invisibility formula with which Tommy injects himself rather than face the police. This sparks an idea for trapping gangster Morgan by having Lou fight champ Rocky Hanlon, with Tommy's invisible help",6.870281,07/03/1951,82,Two bumbling private eyes help a man wrongly accused of murder who has become invisible clear his name.,,7.1,18,,en,Abbott and Costello Meet the Invisible Man
"Abbott and Costello Meet the Killer, Boris Karloff",6.99,"Lost Caverns Hotel bellhop Freddie Phillips is suspected of murder. Swami Talpur tries to hypnotize Freddie into confessing, but Freddie is too stupid for the plot to work. Inspector Wellman uses Freddie to get the killer (and it isn't the Swami).",1.099256,18/09/1949,84,MORE GHOULISH GLEE THAN WHEN THEY MET FRANKENSTEIN!,,7.1,14,,en,"Abbott and Costello Meet the Killer, Boris Karloff"
Coach Carter,6.99,"Based on a true story, in which Richmond High School head basketball coach Ken Carter made headlines in 1999 for benching his undefeated team due to poor academic results.",11.093737,14/01/2005,136,It begins on the street. It ends here.,,7.3,510,,en,Coach Carter
The Mortal Storm,6.99,"The Roth family leads a quiet life in a small village in the German Alps during the early 1930s. When the Nazis come to power, the family is divided and Martin Brietner, a family friend is caught up in the turmoil.",1.680612,14/06/1940,100,The Most Exciting Picture!,,7.1,15,,en,The Mortal Storm
Everyday People,6.99,The closing of a local restaurant concerns a number of employees who've dedicated their lives to the eatery,0.954568,18/01/2004,0,You can't wash out all the color and keep the flavor.,,7.3,4,,en,Everyday People
The Corn Is Green,6.99,"Schoolteacher Lilly Moffat is dismayed by conditions in a Welsh mining town. She sets up a school to teach fundamental education to the villagers. Her housekeeper and daughter oppose the project, as does the local Squire who will not rent her space. Using part of her own home, she goes ahead with Miss Moffat's School. One of her students Morgan Evans turns from bully to brilliant student.",0.954383,14/07/1945,115,A schoolteacher becomes the mentor of a talented young miner and seeks to get him into a university.,,7.3,9,,en,The Corn Is Green
The Seven-Per-Cent Solution,6.99,"Concerned about his friend's cocaine use, Dr. Watson tricks Sherlock Holmes into travelling to Vienna, where Holmes enters the care of Sigmund Freud. Freud attemts to solve the mysteries of Holmes' subconscious, while Holmes devotes himself to solving a mystery involving the kidnapping of Lola Deveraux.",1.313858,24/10/1976,113,Confounding! Sherlock Holmes meets Sigmund Freud,,7.1,23,,en,The Seven-Per-Cent Solution
The Four Feathers,6.99,A disgraced officer risks his life to help his childhood friends in battle.,7.055347,20/04/1939,129,See...The Dreaded Dervishes! - Kipling's Famous FUZZY WUZZIES!,,7.3,22,,en,The Four Feathers
Courage Mountain,6.99,"In this version of ""Heidi,"" a young Swiss girl is sent off to boarding school at the beginning of World War I.",0.128722,14/02/1990,98,Their climb to freedom will become the greatest adventure.,,7.1,3,,en,Courage Mountain
My Sister Eileen,6.99,"Ruth and her beautiful sister Eileen come to New York's Greenwich Village looking for ""fame, fortune and a 'For Rent' sign on Barrow Street"". They find an apartment, but fame and fortune are a lot more elusive. Ruth gets the attention of playboy publisher Bob Baker when she submits a story about her gorgeous sister Eileen. She tries to keep his attention by convincing him that she and the gorgeous, man-getting Eileen are one and the same person.",0.417876,22/09/1955,108,That Joyous New Musical !,,7.3,3,,en,My Sister Eileen
Girl Crazy,7.99,"Rich kid Danny Churchill has a taste for wine, women and song, but not for higher education. So his father ships him to an all-male college out West where there's not supposed to be a female for miles. But before Danny arrives, he spies a pair of legs extending out from under a stalled roadster. They belong to the Dean's granddaughter, Ginger Gray, who is more interested in keeping the financially strapped college open than falling for Danny's romantic line. At least at first...",0.743598,26/11/1943,99,The Big Musical with Broadway Flair and a Western Air!,,7.5,4,,en,Girl Crazy
Panic in the Streets,6.99,"One night in the New Orleans slums, vicious hoodlum Blackie and his friends kill an illegal immigrant who won too much in a card game. Next morning, Dr. Clint Reed of the Public Health Service confirms the dead man had pneumonic plague. To prevent a catastrophic epidemic, Clint must find and inoculate the killers and their associates, with the reluctant aid of police captain Tom Warren, despite official skepticism, and in total secrecy, lest panic empty the city. Can a doctor turn detective? He has 48 hours to try...",8.164371,12/06/1950,96,THE SCREEN'S GREATEST EXCITEMENT OF THE YEAR!,,7.1,24,,en,Panic in the Streets
Speedy,7.99,"""Speedy"" loses his job as a soda-jerk, then spends the day with his girl at Coney Island. He then becomes a cab driver and delivers Babe Ruth to Yankee Stadium, where he stays to see the game. When the railroad tries to run the last horse-drawn trolley (operated by his girl's grandfather) out of business, ""Speedy"" organizes the neighborhood oldtimers to thwart their scheme.",1.160323,07/04/1928,86,You've Waited a Year for This But WOW! What a Hit!,,7.8,17,,en,Speedy
Sin City,6.99,"Welcome to Sin City. This town beckons to the tough, the corrupt, the brokenhearted. Some call it dark… Hard-boiled. Then there are those who call it home — Crooked cops, sexy dames, desperate vigilantes. Some are seeking revenge, others lust after redemption, and then there are those hoping for a little of both. A universe of unlikely and reluctant heroes still trying to do the right thing in a city that refuses to care.",15.010525,01/04/2005,124,Walk down the right back alley in Sin City and you can find anything...,,7.2,2755,,en,Sin City
Bring on the Night,7.99,"Bring On The Night is a 1985 documentary film, that focuses on the jazz-inspired project and band led by the British musician Sting during the early stages of his solo career. Some of the songs, whose recording sessions are featured in the film, appeared on his debut solo album The Dream of the Blue Turtles. Each musician in the band, through the course of the film is interviewed. [Tracklist:] 01 Bring On The Night 02 News Conference 03 If You Love Somebody Set Them Free 04 Low Life 05 Fortress Around Your Heart 06 Love Is The Seventh Wave 07 The Flintstones 08 Another Day 09 Shadows In The Rain 10 Consider Me Gone 11 Driven To Tears 12 The Big Risk 13 Opening Night 14 Shadows In The Rain 15 Fortress Around Your Heart 16 We Work The Black Seam 17 I Burn For You 18 Children's Crusade 19 Need Your Love So Bad 20 Roxanne 21 Russians 22 I Been Down So Long 23 If You Love Somebody Set Them Free 24 Demolition Man  25 Message In A Bottle",0.741503,08/11/1985,97,A band is born,,7.8,4,,en,Bring on the Night
Vincent,7.99,Young Vincent Malloy dreams of being just like Vincent Price and loses himself in macabre daydreams which annoys his mother.,6.675518,01/01/1982,6,"Beautiful, creepy, haunting, sad.",,7.9,217,,en,Vincent
Mutant Aliens,7.99,"Mutant Aliens is a wildly humorous yet poignant story about an astronaut, his daughter, and 5 violent, yet sympathetic, alien creatures who seek revenge against a space industry baron.",0.209908,09/01/2002,81,They're freaks coming to kick your butt!,,7.8,4,,en,Mutant Aliens
Enron: The Smartest Guys in the Room,6.99,"A documentary about the Enron corporation, its faulty and corrupt business practices, and how they led to its fall.",3.971749,22/04/2005,110,It's Just Business.,,7.2,75,,en,Enron: The Smartest Guys in the Room
Crash,6.99,"Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption.",9.785147,13/01/2004,112,You think you know who you are. You have no idea.,,7.2,1172,,en,Crash
Mysterious Skin,6.99,"A teenage hustler and a young man obsessed with alien abductions cross paths, together discovering a horrible, liberating truth.",7.103951,20/05/2004,105,Two boys. One can't remember. The other can't forget.,,7.4,266,,en,Mysterious Skin
The Angry Silence,6.99,A young factory worker stands alone against a proposed strike.,0.700598,10/03/1960,95,"Rough, Tough, Deeply Moving",,7.4,7,,en,The Angry Silence
On Borrowed Time,7.99,"Young Pud is orphaned and left in the care of his aged grandparents. The boy and his cantankerous old grandfather become inseparable friends. But Gramps is concerned for his grandson's future and wary of a scheming relative who seeks Pud's custody. One day Mr. Brink--an agent of Death--arrives to take Gramps ""to the land where the woodbine twineth."" Through a bit of trickery, Gramps confines Mr. Brink, and thus Death, to the top of an old apple tree, giving Gramps extra time to resolve issues about Pud's future.",0.328792,07/07/1939,99,The Great Broadway Stage Hit Reaches The Screen,,8.2,6,,en,On Borrowed Time
Kes,7.99,"A young, English working-class boy spends his free time caring for and training his pet falcon.",4.418373,18/11/1969,110,They beat him.  They deprived him. they ridiculed him. They broke his heart but they couldn't break his spirit.,,7.6,95,,en,Kes
The Cocoanuts,6.99,"During the Florida land boom, the Marx Brothers run a hotel, auction off some land and thwart a jewel robbery.",1.242836,03/08/1929,96,Paramount's All Talking Musicomedy Sensation,,7.1,21,,en,The Cocoanuts
Crackerjack,6.99,"When dwindling membership and increasing overheads makes a local bowling club and prime candidate for a takeover, it's all hands on deck to save the club, in what turns into an epic battle where young meets old, greed meets good and people rise to the occasion in extraordinary circumstances.",0.111834,11/07/2002,92,It’s on for young and old,,7.3,3,,en,Crackerjack
Star Wars: Episode III - Revenge of the Sith,6.99,"Years after the onset of the Clone Wars, the noble Jedi Knights lead a massive clone army into a galaxy-wide battle against the Separatists. When the sinister Sith unveil a thousand-year-old plot to rule the galaxy, the Republic crumbles and from its ashes rises the evil Galactic Empire. Jedi hero Anakin Skywalker is seduced by the dark side of the Force to become the Emperor's new apprentice – Darth Vader. The Jedi are decimated, as Obi-Wan Kenobi and Jedi Master Yoda are forced into hiding. The only hope for the galaxy are Anakin's own offspring – the twin children born in secrecy who will grow up to become heroes.",13.165421,17/05/2005,140,The saga is complete.,,7.1,4200,,en,Star Wars: Episode III - Revenge of the Sith
Cinderella Man,6.99,"The true story of boxer, Jim Braddock who, in the 1920’s after his retirement, has a surprise comeback in order to get him and his family out of a socially poor state.",6.363884,02/06/2005,144,One man's extraordinary fight to save the family he loved.,,7.3,630,,en,Cinderella Man
Batman Begins,7.99,"Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.",28.505341,10/06/2005,140,Evil fears the knight.,,7.5,7511,,en,Batman Begins
Saint Ralph,6.99,"This Canadian made comedy/drama, set in Hamilton, Ontario in 1954, is a sweet and - at times - goofy story that becomes increasingly poignant as the minutes tick by.
 It's the fictional tale of a wayward 9th grader, Ralph (Adam Butcher), who is secretly living on his own while his widowed, hospitalized mother remains immersed in a coma. Frequently in trouble with Father Fitzpatrick (Gordon Pinsent), the principal of his all-boys, Catholic school, Ralph is considered something of a joke among peers until he decides to pull off a miracle that could save his mother, i.e., winning the Boston Marathon.  Coached by a younger priest and former runner, Father Hibbert (Campbell Scott), whose cynicism has been lifted by the boy's pure hope, Ralph applies himself to his unlikely mission, fending off naysayers and getting help along a very challenging path from sundry allies and friends.",2.488542,11/09/2004,95,He's hoping for a miracle. He doesn't have a prayer.,,7.3,24,,en,Saint Ralph
Modigliani,6.99,"Set in Paris in 1919, biopic centers on the life of late Italian artist Amedeo Modigliani, focusing on his last days as well as his rivalry with Pablo Picasso. Modigliani, a Jew, has fallen in love with Jeanne, a young and beautiful Catholic girl. The couple has an illegitimate child, and Jeanne's bigoted parents send the baby to a faraway convent to be raised by nuns. Modigliani is distraught and",7.275868,18/05/2004,128,His passion was life. His obsession was art.,,7.3,42,,en,Modigliani
Julie Johnson,7.99,"A New Jersey housewife is dissatisfied with her everyday life because she is smarter than she or anyone else knows. While taking a computer class, Julie discovers her abilities and finds the courage to make dramatic life changes. This is a story of realizing one's potential and being willing to turn one's life upside down to take a chance on finding happiness. Claire, Julie's best friend, goes along with Julie's secret quest and eventually moves in with her. Both women are on a search to realize their dreams and come to terms with their love for each other.",0.324143,01/01/2001,93,A woman attempts to realize the dreams she never knew she had.,,7.5,4,,en,Julie Johnson
A Time to Love and a Time to Die,6.99,"A German soldier (John Gavin) home on leave falls in love with a girl (Lilo Pulver), then returns to World War II.",1.640077,09/07/1958,132,Born out of the blazing passions of war!,,7.4,19,,en,A Time to Love and a Time to Die
Serenity,6.99,"When the renegade crew of Serenity agrees to hide a fugitive on their ship, they find themselves in an action-packed battle between the relentless military might of a totalitarian regime who will destroy anything – or anyone – to get the girl back and the bloodthirsty creatures who roam the uncharted areas of space. But... the greatest danger of all may be on their ship.",11.919995,25/08/2005,119,Can't stop the signal.,,7.4,1287,,en,Serenity
The Star,6.99,"A washed-up movie queen finds romance, but continues to desire a comeback.",1.049345,11/12/1952,89,The story of a woman...who thought she was a star so high in the sky no man could touch her!,,7.2,13,,en,The Star
Grizzly Man,6.99,"Werner Herzog's documentary film about the ""Grizzly Man"" Timothy Treadwell and what the thirteen summers in a National Park in Alaska were like in one man's attempt to protect the grizzly bears. The film is full of unique images and a look into the spirit of a man who sacrificed himself for nature.",8.535339,12/08/2005,103,One man spent the last 13 years of his life crossing them.,,7.3,213,,en,Grizzly Man
The Best of Everything,6.99,An expose of the lives and loves of Madison Avenue working girls and their higher ups.,1.022321,09/10/1959,121,The Female Jungle EXPOSED!,,7.2,7,,en,The Best of Everything
Strings,6.99,"Strings is a mythological story about the son of a king, Hal Tara, who sets out on a journey to avenge the death of his father. To his surprise he discovers the truth of his own people - and where he least expects it - he finds true love.",2.580159,24/10/2004,88,We are all connected.,,7.1,18,,en,Strings
Everything is Illuminated,6.99,"A film based on the semi-autobiographical novel of the same name by American writer Jonathan Safran Foer, in which a young Jewish American man endeavors—with the help of eccentric, distant relatives—to find the woman who saved his grandfather during World War II, in a Ukrainian village which was ultimately razed by the Nazis.",7.738924,16/09/2005,106,Leave Normal Behind.,,7.4,251,,en,Everything is Illuminated
Why We Fight,7.99,Is American foreign policy dominated by the idea of military supremacy? Has the military become too important in American life? Jarecki's shrewd and intelligent polemic would seem to give an affirmative answer to each of these questions.,6.908381,01/01/2005,98,It Is Nowhere Written That The American Empire Goes On Forever,,7.8,33,,en,Why We Fight
Chapter Two,7.99,"George Schneider is an author whose wife had just died. His brother Leo gives him the number of Jennie Malone, and somehow they hit it off. And just when things are moving along, the memory of his first wife comes between them.",0.706906,14/12/1979,124,"It's not supposed to happen twice in your life, but it can.",,7.5,2,,en,Chapter Two
Corpse Bride,6.99,"Set in a 19th-century european village, this stop-motion animation feature follows the story of Victor, a young man whisked away to the underworld and wed to a mysterious corpse bride, while his real bride Victoria waits bereft in the land of the living.",12.920032,09/09/2005,77,There's been a grave misunderstanding.,,7.2,1957,,en,Corpse Bride
Green Street Hooligans,6.99,"After being wrongfully expelled from Harvard University, American Matt Buckner flees to his sister's home in England. Once there, he is befriended by her charming and dangerous brother-in-law, Pete Dunham, and introduced to the underworld of British football hooliganism. Matt learns to stand his ground through a friendship that develops against the backdrop of this secret and often violent world. 'Green Street Hooligans' is a story of loyalty, trust and the sometimes brutal consequences of living close to the edge.",7.772618,09/09/2005,109,Just think of someone you hate.,,7.1,652,,en,Green Street Hooligans
Kiss Kiss Bang Bang,6.99,A petty thief posing as an actor is brought to Los Angeles for an unlikely audition and finds himself in the middle of a murder investigation along with his high school dream girl and a detective who's been training him for his upcoming role...,11.76054,05/09/2005,103,SeX. MurdEr. MyStery. Welcome to the party.,,7.2,900,,en,Kiss Kiss Bang Bang
No Direction Home: Bob Dylan,7.99,"A chronicle of Bob Dylan's strange evolution between 1961 and 1966 from folk singer to protest singer to ""voice of a generation"" to rock star.",2.8026,21/07/2005,208,Bob Dylan. Songwriter. Rocker. Rebel. Legend.,,7.5,33,,en,No Direction Home: Bob Dylan
Hail the Conquering Hero,6.99,"Having been discharged from the Marines for a hayfever condition before ever seeing action, Woodrow Lafayette Pershing Truesmith (Eddie Bracken) delays the return to his hometown, feeling that he is a failure. While in a moment of melancholy, he meets up with a group of Marines who befriend him and encourage him to return home to his mother by fabricating a story that he was wounded in battle with honorable discharge.",1.405996,09/08/1944,101,MIRACLES DO HAPPEN!,,7.1,17,,en,Hail the Conquering Hero
Touch the Sound,7.99,"A documentary which explores the connections among sound, rhythm, time, and the body by following percussionist Evelyn Glennie, who is nearly deaf.",0.347049,10/09/2004,99,A Sound Journey with Evelyn Glennie,,7.5,2,,en,Touch the Sound
Punishment Park,7.99,"In this fictional documentary, U.S. prisons are at capacity, and President Nixon declares a state of emergency. All new prisoners, most of whom are connected to the antiwar movement, are now given the choice of jail time or spending three days in Punishment Park, where they will be hunted for sport by federal authorities. The prisoners invariably choose the latter option, but learn that, between the desert heat and the brutal police officers, their chances of survival are slim.",2.304455,09/05/1971,88,One of the most controversial films ever made.,,7.6,38,,en,Punishment Park
Brokeback Mountain,7.99,Brokeback Mountain is an Ang Lee film about two modern day cowboys who meet on a shepherding job in the summer of ’63. The two share a raw and powerful summer together that turns into a life long relationship conflicting with the lives they are supposed to live.,11.787044,02/09/2005,134,Love is a force of nature.,,7.5,1531,,en,Brokeback Mountain
The Proposition,6.99,"Set in the Australian outback in the 1880s, the movie follows the series of events following the horrific rape and murder of the Hopkins family, allegedly committed by the infamous Burns brothers gang. Captain Morris Stanley captures Charlie Burns and gives him 9 days to kill his older dangerous psychopathic brother, or else they'll hang his younger mentally slow brother on Christmas Day.",9.387212,06/10/2005,104,This land will be civilized.,,7.1,221,,en,The Proposition
Dead Man's Shoes,6.99,A soldier returns home to his small town and exacts a deadly revenge on the thugs who tormented his dimwitted brother while he was away.,12.655746,29/09/2004,90,He's in all of us.,,7.2,155,,en,Dead Man's Shoes
Pride & Prejudice,7.99,"Pride & Prejudice is a humorous story of love and life among English gentility during the Georgian era. Mr. Bennet is an English gentleman living in Hertfordshire with his overbearing wife and five daughters. If Mr. Bennet dies their house will be inherited by a distant cousin whom they have never met, so the family's future happiness and security is dependent on the daughters making good marriages.",14.439083,16/09/2005,135,A romance ahead of its time.,,7.8,1406,,en,Pride & Prejudice
Harry Potter and the Goblet of Fire,7.99,"Harry starts his fourth year at Hogwarts, competes in the treacherous Triwizard Tournament and faces the evil Lord Voldemort. Ron and Hermione help Harry manage the pressure – but Voldemort lurks, awaiting his chance to destroy Harry and all that he stands for.",24.903058,05/11/2005,157,Dark And Difficult Times Lie Ahead.,,7.5,5758,,en,Harry Potter and the Goblet of Fire
Walk the Line,6.99,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis and Carl Perkins.",11.476443,13/09/2005,136,Love is a burning thing.,,7.3,732,,en,Walk the Line
The Driver,6.99,The Driver specializes in driving getaway cars for robberies. His exceptional talent has prevented him from being caught yet. After another successful flight from the police a self-assured detective makes it his primary goal to catch the Driver. He promises pardons to a gang if they help to convict him in a set-up robbery. The Driver seeks help from The Player to mislead the detective.,6.163618,08/06/1978,91,"To break the driver, the cop was willing to break the law.",,7.1,91,,en,The Driver
Match Point,6.99,"Match Point is Woody Allen’s satire of the British High Society and the ambition of a young tennis instructor to enter into it. Yet when he must decide between two women - one assuring him his place in high society, and the other that would bring him far from it - palms start to sweat and a dark psychological match in his head begins.",9.020372,26/10/2005,124,Passion Temptation Obsession,,7.2,1134,,en,Match Point
Memoirs of a Geisha,6.99,"A sweeping romantic epic set in Japan in the years before World War II, a penniless Japanese child is torn from her family to work as a maid in a geisha house.",7.680762,06/12/2005,145,"My world is as forbidden as it is fragile; without its mysteries, it cannot survive.",,7.3,670,,en,Memoirs of a Geisha
The Organization,6.99,"After a group of young revolutionaries break into a company's corporate headquarters and steal $5,000,000 worth of heroin to keep it off the street, they call on San Francisco Police Lieutenant Virgil Tibbs for assistance.",8.307157,20/10/1971,106,The Toughest Cop Has The Guts To Take On,,7.2,6,,en,The Organization
Christmas in Connecticut,6.99,"Journalist Elizabeth Lane is one of the country's most famous food writers. In her columns, she describes herself as a hard working farm woman, taking care of her children and being an excellent cook. But this is all lies. In reality she is an unmarried New Yorker who can't even boil an egg. The recipes come from her good friend Felix. The owner of the magazine she works for has decided that a heroic sailor will spend his Christmas on *her* farm. Miss Lane knows that her career is over if the truth comes out, but what can she do?",8.568803,17/12/1945,102,It's the fun show that's the one show to see!,,7.1,35,,en,Christmas in Connecticut
Glory Road,6.99,"In 1966, Texas Western coach Don Haskins led the first all-black starting line-up for a college basketball team to the NCAA national championship.",5.244654,13/01/2006,118,The incredible story of the team that changed the game forever.,,7.2,145,,en,Glory Road
Over the Edge,7.99,"The music of Cheap Trick, The Cars, and The Ramones highlights this realistic tale of alienated suburban youth on the rampage. Dillon makes his screen debut in this updated, well-done ""Rebel Without a Cause."" Shelved for several years, the movie was finally released after Dillon made it big. Sleeper with excellent direction and dialogue.",1.861082,02/11/1979,95,"Nobody listened. Nobody cared. Until the night they went ""Over the Edge""",,7.7,36,,en,Over the Edge
Sweet November,7.99,A woman refuses to let her romances last longer than one month.,0.327296,08/02/1968,114,Sara... She had to be remembered by every man she met. So she divided the calendar into twelve men and gave each a month and a key to her apartment. Charlie's month was November because he belonged to Sara as no one ever would again.,,8.3,2,,en,Sweet November
Tea for Two,7.99,"In this reworking of ""No, No, Nanette,"" wealthy heiress Nanette Carter bets her uncle $25,000 that she can say ""no"" to everything for 48 hours. If she wins, she can invest the money in a Broadway show featuring songs written by her beau, and of course, in which she will star. Trouble is, she doesn't realize her uncle's been wiped out by the Stock Market crash.",1.196395,02/09/1950,98,Everybody's goin' gay with --,,8,1,,en,Tea for Two
Green Dolphin Street,7.99,"Sophie loved Edmund, but he left town when her parents forced her to marry wealthy Octavius. Years later, Edmund returns with his son, William. Sophie's daughter, Marguerite, and William fall in love. Marguerite's sister, Marianne, also loves William. Timothy, a lowly carpenter, secretly loves Marianne. He kills a man in a fight, and Edmund helps him flee to New Zealand. William deserts inadvertently from the navy, and also flees in disgrace to New Zealand, where he and Timothy start a profitable business. One night, drunk, William writes Octavius, demanding his daughter's hand; but, being drunk, he asks for the wrong sister.",0.210988,05/11/1947,141,A Fiery Girl Who Dares The Dangers Of The Sea And A Savage Land... Fighting For The Love Of A Bold Adventurer!,,8,1,,en,Green Dolphin Street
Chronos,6.99,Carefully picked scenes of nature and civilization are viewed at high speed using time-lapse cinematography in an effort to demonstrate the history of various regions.,2.141858,10/05/1985,43,A visual and musical journey through time,,7.4,20,,en,Chronos
V for Vendetta,7.99,"In a world in which Great Britain has become a fascist state, a masked vigilante known only as 'V' conducts guerrilla warfare against the oppressive British government. When 'V' rescues a young woman from the secret police, he finds in her an ally with whom he can continue his fight to free the people of Britain.",20.214422,15/03/2006,132,People should not be afraid of their governments. Governments should be afraid of their people.,,7.7,4562,,en,V for Vendetta
Thank You for Smoking,6.99,"The chief spokesperson and lobbyist Nick Naylor is the Vice-President of the Academy of Tobacco Studies. He is talented in speaking and spins argument to defend the cigarette industry in the most difficult situations. His best friends are Polly Bailey that works in the Moderation Council in alcohol business, and Bobby Jay Bliss of the gun business own advisory group SAFETY. They frequently meet each other in a bar and they self-entitle the Mod Squad a.k.a. Merchants of Death, disputing which industry has killed more people. Nick's greatest enemy is Vermont's Senator Ortolan Finistirre, who defends in the Senate the use a skull and crossed bones in the cigarette packs. Nick's son Joey Naylor lives with his mother, and has the chance to know his father in a business trip. When the ambitious reporter Heather Holloway betrays Nick disclosing confidences he had in bed with her, his life turns upside-down. But Nick is good in what he does for the mortgage.",9.369527,05/09/2005,92,Tobacco lobbyist Nick Naylor is trying to SAVE YOUR ASH!,,7.1,670,,en,Thank You for Smoking
Inside Man,6.99,"Bank robber Dalton Russell enters a Manhattan bank, locks the doors and takes hostages, working methodically and without haste. Detective Frazier is assigned to negotiate, but his mind is occupied with the corruption charges he is facing. With an army of police surrounding the bank, the thief, the cop and a high-profile 'fixer' enter high-stakes negotiations.",13.393548,23/03/2006,129,It looked like the perfect bank robbery. But you can't judge a crime by its cover.,,7.3,1671,,en,Inside Man
Nanook of the North,6.99,"This pioneering documentary film depicts the lives of the indigenous Inuit people of Canada's northern Quebec region. Although the production contains some fictional elements, it vividly shows how its resourceful subjects survive in such a harsh climate, revealing how they construct their igloo homes and find food by hunting and fishing. The film also captures the beautiful, if unforgiving, frozen landscape of the Great White North, far removed from conventional civilization.",2.593681,11/06/1922,79,A story of life and love in the actual Arctic.,,7.2,50,,en,Nanook of the North
